Date,Open,High,Low,Close,Adj Close,Volume
12/31/2019,156.770004,157.770004,156.449997,157.699997,154.749756,18369400
1/2/2020,158.779999,160.729996,158.330002,160.619995,157.615128,22622100
1/3/2020,158.320007,159.949997,158.059998,158.619995,155.652542,21116200
1/6/2020,157.080002,159.100006,156.509995,159.029999,156.054855,20813700
1/7/2020,159.320007,159.669998,157.320007,157.580002,154.631989,21634100
1/8/2020,158.929993,160.800003,157.949997,160.089996,157.095032,27746500
1/9/2020,161.839996,162.220001,161.029999,162.089996,159.057617,21385000
1/10/2020,162.820007,163.220001,161.179993,161.339996,158.321655,20725900
1/13/2020,161.759995,163.309998,161.259995,163.279999,160.225342,21626500
1/14/2020,163.389999,163.600006,161.720001,162.130005,159.096909,23477400
1/15/2020,162.619995,163.940002,162.570007,163.179993,160.127197,21417900
1/16/2020,164.350006,166.240005,164.029999,166.169998,163.061264,23865400
1/17/2020,167.419998,167.470001,165.429993,167.100006,163.973892,34371700
1/21/2020,166.679993,168.190002,166.429993,166.5,163.385117,29517200
1/22/2020,167.399994,167.490005,165.679993,165.699997,162.600067,24138800
1/23/2020,166.190002,166.800003,165.270004,166.720001,163.600998,19680800
1/24/2020,167.509995,167.529999,164.449997,165.039993,161.952423,24918100
1/27/2020,161.149994,163.380005,160.199997,162.279999,159.244049,32078100
1/28/2020,163.779999,165.759995,163.070007,165.460007,162.364578,24899900
1/29/2020,167.839996,168.75,165.690002,168.039993,164.896317,34754500
1/30/2020,174.050003,174.050003,170.789993,172.779999,169.547623,51597500
1/31/2020,172.210007,172.399994,169.580002,170.229996,167.045319,36142700
2/3/2020,170.429993,174.5,170.399994,174.380005,171.117691,30107000
2/4/2020,177.139999,180.639999,176.309998,180.119995,176.75032,36433300
2/5/2020,184.029999,184.199997,178.410004,179.899994,176.534409,39186300
2/6/2020,180.970001,183.820007,180.059998,183.630005,180.194641,27751400
2/7/2020,182.850006,185.630005,182.479996,183.889999,180.449768,33529100
2/10/2020,183.580002,188.839996,183.25,188.699997,185.169769,35844300
2/11/2020,190.649994,190.699997,183.5,184.440002,180.989487,53159900
2/12/2020,185.580002,185.850006,181.850006,184.710007,181.254425,47062900
2/13/2020,183.080002,186.229996,182.869995,183.710007,180.273148,35295800
2/14/2020,183.25,185.410004,182.649994,185.350006,181.882477,23149500
2/18/2020,185.610001,187.699997,185.5,187.229996,183.727295,27792200
2/19/2020,188.059998,188.179993,186.470001,187.279999,184.27832,29997500
2/20/2020,186.949997,187.25,181.100006,184.419998,181.464172,36862400
2/21/2020,183.169998,183.5,177.25,178.589996,175.72757,48572600
2/24/2020,167.770004,174.550003,163.229996,170.889999,168.151031,68311100
2/25/2020,174.199997,174.839996,167.649994,168.070007,165.376221,68073300
2/26/2020,169.710007,173.259995,168.210007,170.169998,167.442551,56206100
2/27/2020,163.320007,167.029999,157.979996,158.179993,155.64473,93174900
2/28/2020,152.410004,163.710007,152,162.009995,159.41333,97012700
3/2/2020,165.309998,172.919998,162.309998,172.789993,170.020569,71030800
3/3/2020,173.800003,175,162.259995,164.509995,161.873276,71677000
3/4/2020,168.490005,170.699997,165.619995,170.550003,167.816483,49814400
3/5/2020,166.050003,170.869995,165.690002,166.270004,163.605072,47817300
3/6/2020,162.610001,163.110001,156,161.570007,158.980408,72821100
3/9/2020,151,157.75,150,150.619995,148.205887,70419300
3/10/2020,158.160004,161.029999,152.580002,160.919998,158.340805,65354400
3/11/2020,157.130005,157.699997,151.149994,153.630005,151.167664,56371600
3/12/2020,145.300003,153.470001,138.580002,139.059998,136.831161,93226400
3/13/2020,147.5,161.910004,140.729996,158.830002,156.284302,92727400
3/16/2020,140,149.350006,135,135.419998,133.249512,87905900
3/17/2020,140,147.5,135,146.570007,144.220825,81059800
3/18/2020,138,146,135.020004,140.399994,138.149719,81593200
3/19/2020,142.770004,150.149994,139,142.710007,140.422684,85922700
3/20/2020,146,147.100006,135.860001,137.350006,135.148621,84866200
3/23/2020,137.009995,140.570007,132.520004,135.979996,133.800537,78975200
3/24/2020,143.75,149.600006,141.270004,148.339996,145.962418,82516700
3/25/2020,148.910004,154.330002,144.440002,146.919998,144.565186,75638200
3/26/2020,148.399994,156.660004,148.369995,156.110001,153.607895,64568100
3/27/2020,151.75,154.889999,149.199997,149.699997,147.300644,57042300
3/30/2020,152.440002,160.600006,150.009995,160.229996,157.661865,63420300
3/31/2020,159.399994,164.779999,156.559998,157.710007,155.182251,77927200
4/1/2020,153,157.75,150.820007,152.110001,149.672012,57969900
4/2/2020,151.860001,155.479996,150.360001,155.259995,152.771515,49630700
4/3/2020,155.100006,157.380005,152.190002,153.830002,151.364456,41243300
4/6/2020,160.320007,166.5,157.580002,165.270004,162.621094,67111700
4/7/2020,169.589996,170,163.259995,163.490005,160.869614,62769000
4/8/2020,165.669998,166.669998,163.5,165.130005,162.483353,48318200
4/9/2020,166.360001,167.369995,163.330002,165.139999,162.493164,51385100
4/13/2020,164.350006,165.570007,162.300003,165.509995,162.857224,41905300
4/14/2020,169,173.75,168,173.699997,170.91597,52874300
4/15/2020,171.199997,173.570007,169.240005,171.880005,169.125153,40940800
4/16/2020,174.300003,177.279999,172.899994,177.039993,174.202454,50479600
4/17/2020,179.5,180,175.869995,178.600006,175.737457,52765600
4/20/2020,176.630005,178.75,174.990005,175.059998,172.254196,36669600
4/21/2020,173.5,173.669998,166.110001,167.820007,165.130219,56203700
4/22/2020,171.389999,174,170.820007,173.520004,170.738861,34620200
4/23/2020,174.110001,175.059998,170.910004,171.419998,168.672516,32790800
4/24/2020,172.059998,174.559998,170.710007,174.550003,171.752365,34277600
4/27/2020,176.589996,176.899994,173.300003,174.050003,171.260391,33194400
4/28/2020,175.589996,175.669998,169.389999,169.809998,167.088318,34392700
4/29/2020,173.220001,177.679993,171.880005,177.429993,174.586182,51286600
4/30/2020,180,180.399994,176.229996,179.210007,176.337662,53875900
5/1/2020,175.800003,178.639999,174.009995,174.570007,171.772034,39370500
5/4/2020,174.490005,179,173.800003,178.839996,175.973602,30372900
5/5/2020,180.619995,183.649994,179.899994,180.759995,177.862808,36839200
5/6/2020,182.080002,184.199997,181.630005,182.539993,179.614273,32139300
5/7/2020,184.169998,184.550003,182.580002,183.600006,180.657288,28316000
5/8/2020,184.979996,185,183.360001,184.679993,181.720001,30877800
5/11/2020,183.149994,187.509995,182.850006,186.740005,183.746979,30892700
5/12/2020,186.800003,187.039993,182.300003,182.509995,179.584778,32038200
5/13/2020,182.550003,184.050003,176.539993,179.75,176.869019,44711500
5/14/2020,177.539993,180.690002,175.679993,180.529999,177.636536,41873900
5/15/2020,179.059998,187.059998,177,183.160004,180.22435,46610400
5/18/2020,185.75,186.199997,183.960007,184.910004,181.946289,35264500
5/19/2020,185.029999,186.600006,183.490005,183.630005,180.686798,26799100
5/20/2020,184.809998,185.850006,183.940002,185.660004,183.193069,31261300
5/21/2020,185.399994,186.669998,183.289993,183.429993,180.992676,29119500
5/22/2020,183.190002,184.460007,182.539993,183.509995,181.071609,20826900
5/26/2020,186.339996,186.5,181.100006,181.570007,179.157425,36073600
5/27/2020,180.199997,181.990005,176.600006,181.809998,179.394241,39517100
5/28/2020,180.740005,184.149994,180.380005,181.399994,178.98967,33810200
5/29/2020,182.729996,184.270004,180.410004,183.25,180.815079,42130400
6/1/2020,182.539993,183,181.460007,182.830002,180.400681,22622400
6/2/2020,184.25,185,181.350006,184.910004,182.453033,30794600
6/3/2020,184.820007,185.940002,183.580002,185.360001,182.897049,27311000
6/4/2020,184.300003,185.839996,182.300003,182.919998,180.489471,28761800
6/5/2020,182.619995,187.729996,182.009995,187.199997,184.712616,39893600
6/8/2020,185.940002,188.550003,184.440002,188.360001,185.857193,33211600
6/9/2020,188,190.699997,187.259995,189.800003,187.278061,29783900
6/10/2020,191.130005,198.520004,191.009995,196.839996,194.224518,43872300
6/11/2020,193.130005,195.759995,186.070007,186.270004,183.794968,52854700
6/12/2020,190.539993,191.720001,185.179993,187.740005,185.245453,43373600
6/15/2020,184.580002,190.820007,184.009995,188.940002,186.429489,32770200
6/16/2020,192.889999,195.580002,191.460007,193.570007,190.997986,42556700
6/17/2020,195.029999,196.320007,193.690002,194.240005,191.659088,25687800
6/18/2020,194,196.490005,194,196.320007,193.711441,23061600
6/19/2020,198.589996,199.289993,194.369995,195.149994,192.556992,44441100
6/22/2020,195.789993,200.759995,195.229996,200.570007,197.904968,32818900
6/23/2020,202.089996,203.949997,201.429993,201.910004,199.227158,30917400
6/24/2020,201.600006,203.25,196.559998,197.839996,195.211212,36740600
6/25/2020,197.800003,200.610001,195.470001,200.339996,197.678024,27803900
6/26/2020,199.729996,199.889999,194.880005,196.330002,193.721298,54675800
6/29/2020,195.779999,198.529999,193.550003,198.440002,195.803268,26701600
6/30/2020,197.880005,204.399994,197.740005,203.509995,200.805878,34310300
7/1/2020,203.139999,206.350006,201.770004,204.699997,201.980072,32061200
7/2/2020,205.679993,208.020004,205,206.259995,203.519363,29315800
7/6/2020,208.830002,211.130005,208.089996,210.699997,207.900375,31897600
7/7/2020,210.449997,214.669998,207.990005,208.25,205.48291,33600700
7/8/2020,210.070007,213.259995,208.690002,212.830002,210.002045,33600000
7/9/2020,216.330002,216.380005,211.470001,214.320007,211.47226,33121700
7/10/2020,213.619995,214.080002,211.080002,213.669998,210.830887,26177600
7/13/2020,214.479996,215.800003,206.5,207.070007,204.318604,38135600
7/14/2020,206.130005,208.850006,202.029999,208.350006,205.581604,37591800
7/15/2020,209.559998,211.330002,205.029999,208.039993,205.275696,32179400
7/16/2020,205.399994,205.699997,202.309998,203.919998,201.210464,29940700
7/17/2020,204.470001,205.039993,201.389999,202.880005,200.18428,31635300
7/20/2020,205,212.300003,203.009995,211.600006,208.788406,36884800
7/21/2020,213.660004,213.940002,208.029999,208.75,205.976288,37990400
7/22/2020,209.199997,212.300003,208.389999,211.75,208.936386,49605700
7/23/2020,207.190002,210.919998,202.149994,202.539993,199.848785,67457000
7/24/2020,200.419998,202.860001,197.509995,201.300003,198.625259,39827000
7/27/2020,201.470001,203.970001,200.860001,203.850006,201.141388,30160900
7/28/2020,203.610001,204.699997,201.740005,202.020004,199.335709,23251400
7/29/2020,202.5,204.649994,202.009995,204.059998,201.348587,19632600
7/30/2020,201,204.460007,199.570007,203.899994,201.190704,25079600
7/31/2020,204.399994,205.100006,199.009995,205.009995,202.285965,51044000
8/3/2020,211.520004,217.639999,210.440002,216.539993,213.662766,78983000
8/4/2020,214.169998,214.770004,210.309998,213.289993,210.455933,49280100
8/5/2020,214.899994,215,211.570007,212.940002,210.110611,28806400
8/6/2020,212.339996,216.369995,211.550003,216.350006,213.475281,32656800
8/7/2020,214.850006,215.699997,210.929993,212.479996,209.656708,27820400
8/10/2020,211.669998,211.880005,206.350006,208.25,205.48291,36716500
8/11/2020,207.160004,207.649994,203.139999,203.380005,200.677628,36446500
8/12/2020,205.289993,210.279999,204.75,209.190002,206.410431,28013100
8/13/2020,209.440002,211.350006,208.149994,208.699997,205.926926,22588900
8/14/2020,208.759995,209.589996,207.509995,208.899994,206.124268,17958900
8/17/2020,209.600006,211.190002,208.919998,210.279999,207.485947,20184800
8/18/2020,210.529999,212.360001,209.210007,211.490005,208.679855,21336200
8/19/2020,211.490005,212.100006,209.25,209.699997,207.413834,27627600
8/20/2020,209.539993,215,208.910004,214.580002,212.240616,26981500
8/21/2020,213.860001,216.25,212.850006,213.020004,210.697632,36249300
8/24/2020,214.789993,215.520004,212.429993,213.690002,211.360306,25460100
8/25/2020,213.100006,216.610001,213.100006,216.470001,214.110016,23043700
8/26/2020,217.880005,222.089996,217.360001,221.149994,218.738983,39600800
8/27/2020,222.889999,231.149994,219.399994,226.580002,224.109802,57602200
8/28/2020,228.179993,230.639999,226.580002,228.910004,226.414383,26292900
8/31/2020,227,228.699997,224.309998,225.529999,223.071228,28774200
9/1/2020,225.509995,227.449997,224.429993,227.270004,224.792282,25725500
9/2/2020,227.970001,232.860001,227.350006,231.649994,229.124527,34080800
9/3/2020,229.270004,229.309998,214.960007,217.300003,214.930984,58400300
9/4/2020,215.100006,218.360001,205.190002,214.25,211.9142,59664100
9/8/2020,206.5,210.029999,202.199997,202.660004,200.450577,52924300
9/9/2020,207.600006,214.839996,206.699997,211.289993,208.986481,45679000
9/10/2020,213.399994,214.740005,204.110001,205.369995,203.131027,35461500
9/11/2020,207.199997,208.630005,201.240005,204.029999,201.805634,33620100
9/14/2020,204.240005,209.199997,204.029999,205.410004,203.170609,30375800
9/15/2020,208.419998,209.779999,206.929993,208.779999,206.503845,21823900
9/16/2020,210.619995,210.649994,204.639999,205.050003,202.814529,26328100
9/17/2020,200.050003,204.330002,199.960007,202.910004,200.697845,34011300
9/18/2020,202.800003,203.649994,196.25,200.389999,198.205322,55225300
9/21/2020,197.190002,202.710007,196.380005,202.539993,200.331879,39839700
9/22/2020,205.059998,208.100006,202.080002,207.419998,205.158676,33517100
9/23/2020,207.899994,208.100006,200.029999,200.589996,198.403137,30803800
9/24/2020,199.850006,205.570007,199.199997,203.190002,200.974792,31202500
9/25/2020,203.550003,209.039993,202.539993,207.820007,205.554321,29437300
9/28/2020,210.880005,212.570007,208.059998,209.440002,207.156662,32004900
9/29/2020,209.350006,210.070007,206.809998,207.259995,205.000412,24221900
9/30/2020,207.729996,211.979996,206.539993,210.330002,208.036972,33829100
10/1/2020,213.490005,213.990005,211.320007,212.460007,210.143738,27158400
10/2/2020,208,210.990005,205.539993,206.190002,203.942078,33154800
10/5/2020,207.220001,210.410004,206.979996,210.380005,208.086426,21331600
10/6/2020,208.820007,210.179993,204.820007,205.910004,203.665131,28554300
10/7/2020,207.059998,210.110001,206.720001,209.830002,207.542419,25681100
10/8/2020,210.509995,211.190002,208.320007,210.580002,208.284241,19925800
10/9/2020,211.229996,215.860001,211.229996,215.809998,213.457214,26458000
10/12/2020,218.789993,223.860001,216.809998,221.399994,218.986252,40461400
10/13/2020,222.720001,225.210007,220.429993,222.860001,220.430344,28950800
10/14/2020,223,224.220001,219.130005,220.860001,218.452148,23421700
10/15/2020,217.100006,220.360001,216.009995,219.660004,217.265244,22733100
10/16/2020,220.149994,222.289993,219.320007,219.660004,217.265244,26057900
10/19/2020,220.419998,222.300003,213.720001,214.220001,211.884552,27625800
10/20/2020,215.800003,217.369995,213.089996,214.649994,212.30986,22753500
10/21/2020,213.119995,216.919998,213.119995,214.800003,212.458221,22724900
10/22/2020,213.929993,216.059998,211.699997,214.889999,212.547241,22351500
10/23/2020,215.029999,216.279999,213.160004,216.229996,213.872604,18879600
10/26/2020,213.850006,216.339996,208.100006,210.080002,207.789673,37111600
10/27/2020,211.589996,214.669998,210.330002,213.25,210.92511,36700300
10/28/2020,207.669998,208.839996,202.100006,202.679993,200.470352,51195600
10/29/2020,204.070007,207.360001,203.369995,204.720001,202.488098,31432600
10/30/2020,203.5,204.289993,199.619995,202.470001,200.26265,36953700
11/2/2020,204.289993,205.279999,200.119995,202.330002,200.124176,30842200
11/3/2020,203.889999,208.119995,203.119995,206.429993,204.179459,27512000
11/4/2020,214.020004,218.320007,212.419998,216.389999,214.030869,42311800
11/5/2020,222.039993,224.119995,221.149994,223.289993,220.855652,36080100
11/6/2020,222.259995,224.360001,218.029999,223.720001,221.280975,25231900
11/9/2020,224.440002,228.119995,217.880005,218.389999,216.009094,44395000
11/10/2020,214.5,216.5,209.720001,211.009995,208.709534,44045100
11/11/2020,212.389999,218.039993,212.199997,216.550003,214.189133,29440800
11/12/2020,217.210007,219.110001,214.460007,215.440002,213.091248,21593900
11/13/2020,216.360001,217.419998,214.160004,216.509995,214.149567,18621100
11/16/2020,214.869995,217.740005,214.520004,217.229996,214.861725,24953300
11/17/2020,216.100006,217.679993,214.080002,214.460007,212.121933,24154100
11/18/2020,213.649994,215.169998,210.929993,211.080002,209.325363,28372800
11/19/2020,211.380005,213.029999,209.929993,212.419998,210.654236,24792700
11/20/2020,212.199997,213.289993,210,210.389999,208.641098,22843100
11/23/2020,210.949997,212.289993,208.160004,210.110001,208.363434,25683500
11/24/2020,209.589996,214.25,208.860001,213.860001,212.082275,33979700
11/25/2020,215.110001,215.289993,212.460007,213.869995,212.092178,21012900
11/27/2020,214.850006,216.270004,214.039993,215.229996,213.440872,14512200
11/30/2020,214.100006,214.759995,210.839996,214.070007,212.290527,33064800
12/1/2020,214.509995,217.320007,213.350006,216.210007,214.412735,30904500
12/2/2020,214.880005,215.470001,212.800003,215.369995,213.579712,23724500
12/3/2020,214.610001,216.380005,213.649994,214.240005,212.459106,25120900
12/4/2020,214.220001,215.380005,213.179993,214.360001,212.578094,24666000
12/7/2020,214.369995,215.539993,212.990005,214.289993,212.508682,24620000
12/8/2020,213.970001,216.949997,212.889999,216.009995,214.214386,23284100
12/9/2020,215.160004,215.229996,211.210007,211.800003,210.039383,32440600
12/10/2020,211.770004,213.080002,210.360001,210.520004,208.770035,26733300
12/11/2020,210.050003,213.320007,209.110001,213.259995,211.487244,30979400
12/14/2020,213.100006,216.210007,212.880005,214.199997,212.419418,28798400
12/15/2020,215.169998,215.419998,212.240005,214.130005,212.350021,27000600
12/16/2020,214.75,220.110001,214.720001,219.279999,217.457199,35023300
12/17/2020,219.869995,220.889999,217.919998,219.419998,217.596039,32515800
12/18/2020,218.589996,219.690002,216.020004,218.589996,216.772949,63354900
12/21/2020,217.550003,224,217.279999,222.589996,220.739685,37181900
12/22/2020,222.690002,225.630005,221.850006,223.940002,222.078476,22612200
12/23/2020,223.110001,223.559998,220.800003,221.020004,219.182739,18699600
12/24/2020,221.419998,223.610001,221.199997,222.75,220.898361,10550600
12/28/2020,224.449997,226.029999,223.020004,224.960007,223.089996,17933500
12/29/2020,226.309998,227.179993,223.580002,224.149994,222.286728,17403200
